RmType,Technical,Term,Subject,CourseName,Section,DaysMet,DaysWK,Duration,HoursPerWeek,Building,RmID,Enrollment,SeatCapacity
Auditorium,0,2016-2Spring,PHYS,PHYS 23400,1,MWF,3,1,3,KPTC,KPTC 106,99,0.48
Auditorium,0,2016-2Spring,PHYS,PHYS 13300,BB,TR,2,1.5,3,KPTC,KPTC 106,99,0.48
Auditorium,0,2016-2Spring,PHSC,PHSC 11000,0,MWF,3,1,3,HGS,HGS 101,99,0.92
Auditorium,0,2016-2Spring,PLSC,PLSC 28900,1,MW,2,1.5,3,K,K 107,92,0.32
Auditorium,0,2016-2Spring,STAT,STAT 23400,2,TR,2,1.5,3,HGS,HGS 101,90,0.83
Auditorium,0,2016-2Spring,NEHC,NEHC 20013,1,TR,2,1.5,3,HGS,HGS 101,86,0.8
Auditorium,0,2016-2Spring,PHYS,PHYS 21103,1,W,1,1.5,1.5,KPTC,KPTC 120,81,0.81
Auditorium,0,2016-2Spring,PHYS,PHYS 22700,1,MWF,3,1,3,HGS,HGS 101,78,0.72
Auditorium,0,2016-2Spring,STAT,STAT 25100,1,TR,2,1.5,3,HGS,HGS 101,77,0.71
Auditorium,0,2016-2Spring,MATH,MATH 53016,1,M,1,2.5,2.5,HGS,HGS 101,73,0.68
LectureXL,0,2016-2Spring,PHYS,PHYS 13300,AA,MWF,3,1,3,KPTC,KPTC 106,65,0.31
LectureXL,0,2016-2Spring,PHYS,PHYS 22000,1,MWF,3,1,3,KPTC,KPTC 120,41,0.41
LectureXL,0,2016-2Spring,PHYS,PHYS 14300,AA,MWF,3,1,3,KPTC,KPTC 120,38,0.38
LectureXL,0,2016-2Spring,CHEM,CHEM 12300,0,MWF,3,1,3,K,K 120,38,0.22
LectureLg,0,2016-2Spring,PHYS,PHYS 23400,,M,1,1,1,KPTC,KPTC 120,33,0.33
LectureLg,0,2016-2Spring,PHYS,PHYS 14300,BB,TR,2,1.5,3,KPTC,KPTC 120,29,0.29
LectureLg,0,2016-2Spring,PHYS,PHYS 12300,,M,1,1,1,KPTC,KPTC 120,22,0.22
LectureLg,0,2016-2Spring,GEOS,GEOS 13300,1,MWF,3,1,3,HGS,HGS 101,22,0.2
LectureLg,0,2016-2Spring,PHSC,PHSC 12620,0,TR,2,1.5,3,HGS,HGS 101,21,0.19
LectureMed,0,2016-2Spring,PHYS,PHYS 13300,,W,1,1,1,KPTC,KPTC 120,20,0.2
LectureMed,0,2016-2Spring,CHEM,CHEM 26800,1,TR,2,1.5,3,K,K 120,20,0.11
LectureMed,0,2016-2Spring,CHEM,CHEM 23200,0,TR,2,1.5,3,K,K 120,19,0.11
LectureMed,0,2016-2Spring,PHYS,PHYS 13300,,T,1,1,1,KPTC,KPTC 120,17,0.17
Seminar,0,2016-2Spring,PHSC,PHSC 50200,1,W,1,3,3,K,K 120,15,0.09
Seminar,0,2016-2Spring,GEOS,GEOS 23400,0,MWF,3,1,3,K,K 107,10,0.03
Seminar,0,2016-2Spring,PHSC,PHSC 12720,0,MWF,3,1,3,HGS,HGS 101,8,0.07
Seminar,0,2016-2Spring,PHSC,PHSC 13400,0,MWF,3,1,3,K,K 107,271,0.95
AuditoriumLg,0,2016-2Spring,PLSC,PLSC 28701,1,MW,2,1.5,3,K,K 107,191,0.67
AuditoriumLg,0,2016-2Spring,CHEM,CHEM 11300,1,MWF,3,1,3,K,K 107,190,0.66
AuditoriumLg,0,2016-2Spring,SOSC,SOSC 14300,1,R,1,1.5,1.5,K,K 107,159,0.56
AuditoriumLg,0,2016-2Spring,CHEM,CHEM 22200,0,TR,2,1.5,3,K,K 107,145,0.51
AuditoriumLg,0,2016-2Spring,PHYS,PHYS 12300,0,TR,2,1.5,3,KPTC,KPTC 106,130,0.63
